ID,ActionDate,ActionType,NullColumn,
10,5/22/15,Phone Call,,
100,1/27/04,Meeting,,
100,2/12/04,Phone Call,,
100,3/4/04,Phone Call,,
100,5/18/05,Meeting,,
100,6/1/06,Phone Call,,
100,8/16/06,Phone Call,,
100,6/23/06,Email,,
100,9/20/06,Meeting,,
100,9/22/06,Email,,
100,9/23/06,Email,,
100,10/11/07,Email,,
100,10/9/07,Meeting,,
100,4/30/08,Phone Call,,
100,5/5/08,Mailing,,
10000,5/19/04,Meeting,,
1001,10/31/14,Mailing,,
1001,2/29/16,Mailing,,
1006,5/27/14,Phone Call,,
10075,1/28/04,Meeting,,
10075,1/27/06,Mailing,,
1009,1/13/05,Meeting,,
1009,8/26/05,Meeting,,
1009,8/26/05,Meeting,,
1009,11/29/05,Phone Call,,
1009,7/10/06,Meeting,,
1009,12/6/06,Phone Call,,
1009,1/12/07,Mailing,,
1009,11/6/07,Meeting,,
1009,11/20/07,Mailing,,
1009,12/7/07,Meeting,,
1009,3/19/09,Email,,
1009,7/31/09,Meeting,,
1009,7/17/09,Phone Call,,
1009,1/15/10,Mailing,,
1009,8/28/10,Meeting,,
1009,9/2/10,Meeting,,
1009,9/3/10,Mailing,,
1009,5/24/11,Mailing,,
1009,5/6/11,Meeting,,
1009,7/27/11,Phone Call,,
1009,9/20/11,Email,,
1009,12/16/11,Mailing,,
1009,1/9/12,Mailing,,
1009,1/23/12,Phone Call,,
1009,1/23/12,Email,,
1009,6/3/12,Meeting,,
1009,10/12/12,Meeting,,
1009,12/18/12,Mailing,,
1009,1/14/13,Mailing,,
1009,10/18/13,Mailing,,
1009,12/19/13,Mailing,,
1009,1/14/14,Mailing,,
1009,5/26/15,Phone Call,,
1009,6/15/15,Email,,
1009,2/12/16,Phone Call,,
10092,2/7/08,Meeting,,
10092,11/11/15,Mailing,,
10092,2/15/16,Email,,
10126,2/20/13,Email,,
10130,1/16/13,Email,,
10130,2/17/16,Email,,
10132,1/12/16,Email,,
10132,2/4/16,Email,,
10132,2/11/16,Phone Call,,
10132,2/17/16,Email,,
10132,2/24/16,Meeting,,
10173,10/11/12,Meeting,,
10174,3/17/14,Email,,
