Attended,ID,Date,Event,
Yes,100,4/21/06,Half Century Club Luncheon 2006,
Yes,100,4/19/02,Half Century Club Luncheon 02,
Yes,10000,4/21/06,Half Century Club Luncheon 2006,
Yes,10000,4/21/06,Alumni Weekend 2006,
Yes,10000,4/18/02,Alumni Weekend 02,
Yes,10000,4/20/01,Alumni Weekend 2001,
Yes,1001,2/26/16,Alumni Birthday Bash - February 2016,
Yes,1001,4/18/15,Alumni Weekend 2015 - Class of 1960 Party,
Yes,1001,4/17/15,Alumni Weekend 2015,
Yes,1001,4/17/15,Alumni Weekend 2015 - Half Century Club Luncheon,
Yes,1001,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,1001,4/20/12,Alumni Weekend 2012,
Yes,1001,4/15/05,Alumni Weekend 05,
Yes,1003,5/11/01,Ethnic Minority Celebration 01,
Yes,1006,6/8/14,Conway Open House - Bill Tsutsui & Marjorie Swann,
Yes,1009,4/18/15,Inauguration of President Tsutsui for Class Repres,
Yes,1009,4/17/15,Alumni Weekend 2015 - Half Century Club Luncheon,
Yes,1009,5/4/14,Gojira/Godzilla Event with Dr. Bill Tsutsui,
Yes,1009,4/4/14,Alumni Weekend 2014 - Half Century Club Luncheon,
Yes,1009,4/4/14,Alumni Weekend 2014,
Yes,1009,6/7/13,Hendrix at the Arkansas Arts Center 2013,
Yes,1009,4/19/13,Alumni Weekend 2013 - Half Century Club Luncheon,
Yes,1009,4/19/13,Alumni Weekend 2013,
Yes,1009,6/3/12,Hendrix at Crystal Bridges 2012,
Yes,1009,5/19/12,Alumni Odyssey College 2012,
Yes,1009,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,1009,2/7/12,Hendrix Night at the Rep 2012,
Yes,1009,12/4/11,Candlelight Carol Service 2011,
Yes,1009,9/30/11,Hendrix Pilgrimage to Oxford 2011,
Yes,1009,5/21/11,Alumni Odyssey College 2011,
Yes,1009,5/6/11,Celebrating the Campaign for National Leadership,
Yes,1009,5/22/10,Alumni Odyssey College 2010,
Yes,1009,4/16/10,Half Century Club Luncheon 2010,
